date,img,color
2013-08-29 01:09:42,8005,"(0.8980392156862745, 0.6549019607843137, 0.5372549019607843)"
2013-08-29 01:09:42,7510,"(0.4549019607843137, 0.5725490196078431, 0.7294117647058823)"
2013-08-29 01:09:42,1767,"(0.8509803921568627, 0.7764705882352941, 0.6392156862745098)"
2013-08-29 01:09:42,7411,"(0.8156862745098039, 0.7764705882352941, 0.7490196078431373)"
2013-08-29 01:09:42,7015,"(0.11764705882352941, 0.18823529411764706, 0.25098039215686274)"
2013-08-29 01:09:42,9589,"(0.18823529411764706, 0.1843137254901961, 0.1411764705882353)"
2013-08-29 01:09:42,1074,"(0.8470588235294118, 0.7490196078431373, 0.7803921568627451)"
2013-08-29 01:09:42,282,"(0.8313725490196079, 0.8313725490196079, 0.8274509803921568)"
2013-08-29 01:09:42,6619,"(0.1411764705882353, 0.12941176470588237, 0.17647058823529413)"
2013-08-29 01:09:42,7906,"(0.4588235294117647, 0.6627450980392157, 0.8156862745098039)"
2013-08-29 01:09:42,9490,"(0.12549019607843137, 0.12549019607843137, 0.1411764705882353)"
2013-08-29 01:09:42,1272,"(0.8941176470588236, 0.8862745098039215, 0.8862745098039215)"
2013-08-29 01:09:42,2560,"(0.8901960784313725, 0.8784313725490196, 0.8627450980392157)"
2013-08-29 01:09:42,6718,"(0.1607843137254902, 0.16470588235294117, 0.17254901960784313)"
2013-08-29 01:09:42,9886,"(0.8666666666666667, 0.8352941176470589, 0.8666666666666667)"
2013-08-29 01:09:42,2461,"(0.28627450980392155, 0.27058823529411763, 0.24705882352941178)"
2013-08-29 01:09:42,6817,"(0.8823529411764706, 0.8862745098039215, 0.8941176470588236)"
2013-08-29 01:09:42,2263,"(0.18823529411764706, 0.1607843137254902, 0.19607843137254902)"
2013-08-29 01:09:42,7807,"(0.8784313725490196, 0.6901960784313725, 0.5843137254901961)"
2013-08-29 01:09:42,1668,"(0.8901960784313725, 0.8941176470588236, 0.9333333333333333)"
2013-08-29 01:09:42,8203,"(0.5254901960784314, 0.5529411764705883, 0.6470588235294118)"
2013-08-29 01:09:42,7708,"(0.7490196078431373, 0.7529411764705882, 0.8549019607843137)"
2013-08-29 01:09:42,2362,"(0.7215686274509804, 0.7333333333333333, 0.796078431372549)"
2013-08-29 01:09:42,6916,"(0.4666666666666667, 0.4196078431372549, 0.43137254901960786)"
2013-08-29 01:09:42,1370,"(0.2235294117647059, 0.16862745098039217, 0.14901960784313725)"
2014-04-15 01:19:47,7982,"(0.596078431372549, 0.6, 0.6039215686274509)"
2014-04-15 01:19:47,160,"(0.27450980392156865, 0.22745098039215686, 0.2549019607843137)"
2014-04-15 01:19:47,7685,"(0.14901960784313725, 0.1450980392156863, 0.16862745098039217)"
2014-04-15 01:19:47,5408,"(0.1411764705882353, 0.1450980392156863, 0.16862745098039217)"
2014-04-15 01:19:47,5309,"(0.7725490196078432, 0.13725490196078433, 0.21176470588235294)"
2014-04-15 01:19:47,8675,"(0.13333333333333333, 0.15294117647058825, 0.17254901960784313)"
2014-04-15 01:19:47,8774,"(0.11372549019607843, 0.3607843137254902, 0.18823529411764706)"
2014-04-15 01:19:47,7586,"(0.803921568627451, 0.7764705882352941, 0.792156862745098)"
2014-04-15 01:19:47,655,"(0.18823529411764706, 0.23137254901960785, 0.17254901960784313)"
2014-04-15 01:19:47,5011,"(0.18823529411764706, 0.1843137254901961, 0.1411764705882353)"
2014-04-15 01:19:47,5209,"(0.8823529411764706, 0.8862745098039215, 0.8941176470588236)"
2014-04-15 01:19:47,7784,"(0.14901960784313725, 0.1450980392156863, 0.16862745098039217)"
2014-04-15 01:19:47,4913,"(0.4666666666666667, 0.3568627450980392, 0.4196078431372549)"
2014-04-15 01:19:47,5110,"(0.4666666666666667, 0.3568627450980392, 0.4196078431372549)"
2014-04-15 01:19:47,8279,"(0.4666666666666667, 0.3568627450980392, 0.4196078431372549)"
2014-04-15 01:19:47,259,"(0.23921568627450981, 0.29411764705882354, 0.38823529411764707)"
2014-04-15 01:19:47,457,"(0.1843137254901961, 0.18823529411764706, 0.23921568627450981)"
2014-04-15 01:19:47,6695,"(0.8549019607843137, 0.7529411764705882, 0.7764705882352941)"
2014-04-15 01:19:47,6497,"(0.8274509803921568, 0.8156862745098039, 0.8549019607843137)"
2014-04-15 01:19:47,6794,"(0.8901960784313725, 0.8901960784313725, 0.8901960784313725)"
2014-04-15 01:19:47,6893,"(0.8392156862745098, 0.5254901960784314, 0.5568627450980392)"
2014-04-15 01:19:47,6398,"(0.19215686274509805, 0.1843137254901961, 0.19215686274509805)"
2014-04-15 01:19:47,4814,"(0.9019607843137255, 0.9019607843137255, 0.9137254901960784)"
2014-04-15 01:19:47,8378,"(0.49411764705882355, 0.27450980392156865, 0.3254901960784314)"
2014-04-15 01:19:47,6299,"(0.8941176470588236, 0.7803921568627451, 0.7607843137254902)"
2014-04-15 01:19:47,8180,"(0.23921568627450981, 0.29411764705882354, 0.38823529411764707)"
2014-04-15 01:19:47,6200,"(0.3803921568627451, 0.4549019607843137, 0.5411764705882353)"
2014-04-15 01:19:47,6992,"(0.8313725490196079, 0.6235294117647059, 0.6549019607843137)"
2014-04-15 01:19:47,6101,"(0.792156862745098, 0.7803921568627451, 0.7607843137254902)"
2014-04-15 01:19:47,5507,"(0.3333333333333333, 0.3137254901960784, 0.32941176470588235)"
2014-04-15 01:19:47,7091,"(0.16470588235294117, 0.13725490196078433, 0.19607843137254902)"
2014-04-15 01:19:47,8477,"(0.8705882352941177, 0.8392156862745098, 0.8627450980392157)"
2014-04-15 01:19:47,5903,"(0.1568627450980392, 0.20392156862745098, 0.3568627450980392)"
2014-04-15 01:19:47,556,"(0.08627450980392157, 0.08627450980392157, 0.08627450980392157)"
2014-04-15 01:19:47,7190,"(0.8313725490196079, 0.6980392156862745, 0.6392156862745098)"
2014-04-15 01:19:47,5804,"(0.6431372549019608, 0.5137254901960784, 0.49019607843137253)"
2014-04-15 01:19:47,7289,"(0.1843137254901961, 0.18823529411764706, 0.23921568627450981)"
2014-04-15 01:19:47,6596,"(0.807843137254902, 0.615686274509804, 0.5176470588235295)"
2014-04-15 01:19:47,358,"(0.796078431372549, 0.7529411764705882, 0.7254901960784313)"
2014-04-15 01:19:47,8081,"(0.10588235294117647, 0.24705882352941178, 0.38823529411764707)"
2014-04-15 01:19:47,8576,"(0.8235294117647058, 0.6313725490196078, 0.6745098039215687)"
2014-04-15 01:19:47,5606,"(0.9058823529411765, 0.8823529411764706, 0.7725490196078432)"
2014-04-15 01:19:47,7388,"(0.23529411764705882, 0.23137254901960785, 0.27058823529411763)"
2014-04-15 01:19:47,7487,"(0.8549019607843137, 0.8666666666666667, 0.8705882352941177)"
2014-04-15 01:19:47,6002,"(0.13333333333333333, 0.13333333333333333, 0.1568627450980392)"
2014-04-15 01:19:47,5705,"(0.8549019607843137, 0.8313725490196079, 0.8823529411764706)"
2014-04-15 01:19:47,7883,"(0.12941176470588237, 0.09803921568627451, 0.10196078431372549)"
2014-04-15 01:19:47,9368,"(0.8549019607843137, 0.7529411764705882, 0.7764705882352941)"
2014-04-15 01:19:47,853,"(0.1411764705882353, 0.14901960784313725, 0.16470588235294117)"
2014-04-15 01:19:47,3724,"(0.8588235294117647, 0.792156862745098, 0.788235294117647)"
2014-04-15 01:19:47,1843,"(0.18823529411764706, 0.17647058823529413, 0.21568627450980393)"
2014-04-15 01:19:47,3626,"(0.17254901960784313, 0.26666666666666666, 0.3254901960784314)"
2014-04-15 01:19:47,1943,"(0.8470588235294118, 0.8352941176470589, 0.8117647058823529)"
2014-04-15 01:19:47,3527,"(0.792156862745098, 0.6980392156862745, 0.7607843137254902)"
2014-04-15 01:19:47,9665,"(0.7647058823529411, 0.792156862745098, 0.8470588235294118)"
2014-04-15 01:19:47,3428,"(0.7607843137254902, 0.792156862745098, 0.8156862745098039)"
2014-04-15 01:19:47,3329,"(0.5607843137254902, 0.6313725490196078, 0.2980392156862745)"
2014-04-15 01:19:47,2042,"(0.7490196078431373, 0.6941176470588235, 0.6705882352941176)"
2014-04-15 01:19:47,9269,"(0.8274509803921568, 0.8156862745098039, 0.8549019607843137)"
2014-04-15 01:19:47,2141,"(0.8196078431372549, 0.615686274509804, 0.6196078431372549)"
2014-04-15 01:19:47,3230,"(0.403921568627451, 0.5529411764705883, 0.34509803921568627)"
2014-04-15 01:19:47,3823,"(0.1568627450980392, 0.3764705882352941, 0.5686274509803921)"
2014-04-15 01:19:47,2240,"(0.6980392156862745, 0.6745098039215687, 0.6901960784313725)"
2014-04-15 01:19:47,951,"(0.7058823529411765, 0.6980392156862745, 0.7176470588235294)"
2014-04-15 01:19:47,2339,"(0.8705882352941177, 0.8, 0.7568627450980392)"
2014-04-15 01:19:47,3032,"(0.9098039215686274, 0.807843137254902, 0.7843137254901961)"
2014-04-15 01:19:47,4715,"(0.9176470588235294, 0.6039215686274509, 0.5450980392156862)"
2014-04-15 01:19:47,9566,"(0.6745098039215687, 0.5490196078431373, 0.4745098039215686)"
2014-04-15 01:19:47,2933,"(0.8, 0.5098039215686274, 0.3137254901960784)"
2014-04-15 01:19:47,1050,"(0.8901960784313725, 0.8901960784313725, 0.8901960784313725)"
2014-04-15 01:19:47,2834,"(0.5686274509803921, 0.0392156862745098, 0.09803921568627451)"
2014-04-15 01:19:47,2735,"(0.11764705882352941, 0.15294117647058825, 0.39215686274509803)"
2014-04-15 01:19:47,2438,"(0.8274509803921568, 0.7647058823529411, 0.7411764705882353)"
2014-04-15 01:19:47,61,"(0.23921568627450981, 0.23137254901960785, 0.27450980392156865)"
2014-04-15 01:19:47,9467,"(0.25098039215686274, 0.2196078431372549, 0.22745098039215686)"
2014-04-15 01:19:47,2636,"(0.07058823529411765, 0.5058823529411764, 0.4117647058823529)"
2014-04-15 01:19:47,3131,"(0.3686274509803922, 0.3843137254901961, 0.33725490196078434)"
2014-04-15 01:19:47,1743,"(0.796078431372549, 0.6901960784313725, 0.6509803921568628)"
2014-04-15 01:19:47,9170,"(0.6901960784313725, 0.7215686274509804, 0.788235294117647)"
2014-04-15 01:19:47,8972,"(0.45098039215686275, 0.4196078431372549, 0.4)"
2014-04-15 01:19:47,1249,"(0.8392156862745098, 0.5254901960784314, 0.5568627450980392)"
2014-04-15 01:19:47,1347,"(0.27450980392156865, 0.27058823529411763, 0.29411764705882354)"
2014-04-15 01:19:47,8873,"(0.8823529411764706, 0.7607843137254902, 0.7372549019607844)"
2014-04-15 01:19:47,4616,"(0.3686274509803922, 0.35294117647058826, 0.37254901960784315)"
2014-04-15 01:19:47,9863,"(0.8470588235294118, 0.7803921568627451, 0.7529411764705882)"
2014-04-15 01:19:47,4516,"(0.8980392156862745, 0.6549019607843137, 0.5372549019607843)"
2014-04-15 01:19:47,1447,"(0.4549019607843137, 0.5725490196078431, 0.7294117647058823)"
2014-04-15 01:19:47,754,"(0.8509803921568627, 0.7764705882352941, 0.6392156862745098)"
2014-04-15 01:19:47,4417,"(0.8156862745098039, 0.7764705882352941, 0.7490196078431373)"
2014-04-15 01:19:47,4318,"(0.11764705882352941, 0.18823529411764706, 0.25098039215686274)"
2014-04-15 01:19:47,3922,"(0.8470588235294118, 0.7490196078431373, 0.7803921568627451)"
2014-04-15 01:19:47,1545,"(0.19215686274509805, 0.1843137254901961, 0.19215686274509805)"
2014-04-15 01:19:47,4219,"(0.8313725490196079, 0.8313725490196079, 0.8274509803921568)"
2014-04-15 01:19:47,2537,"(0.1411764705882353, 0.12941176470588237, 0.17647058823529413)"
2014-04-15 01:19:47,9764,"(0.4588235294117647, 0.6627450980392157, 0.8156862745098039)"
2014-04-15 01:19:47,1149,"(0.12549019607843137, 0.12549019607843137, 0.1411764705882353)"
2014-04-15 01:19:47,1645,"(0.8941176470588236, 0.8862745098039215, 0.8862745098039215)"
2014-04-15 01:19:47,9071,"(0.8901960784313725, 0.8784313725490196, 0.8627450980392157)"
2014-04-15 01:19:47,4120,"(0.1607843137254902, 0.16470588235294117, 0.17254901960784313)"
2014-04-15 01:19:47,4021,"(0.8666666666666667, 0.8352941176470589, 0.8666666666666667)"
2014-12-04 02:07:09,7757,"(0.28627450980392155, 0.27058823529411763, 0.24705882352941178)"
2014-12-04 02:07:09,331,"(0.18823529411764706, 0.1607843137254902, 0.19607843137254902)"
2014-12-04 02:07:09,2411,"(0.9019607843137255, 0.9019607843137255, 0.9137254901960784)"
2014-12-04 02:07:09,6866,"(0.8784313725490196, 0.6901960784313725, 0.5843137254901961)"
2014-12-04 02:07:09,2015,"(0.8901960784313725, 0.8941176470588236, 0.9333333333333333)"
2014-12-04 02:07:09,7361,"(0.5254901960784314, 0.5529411764705883, 0.6470588235294118)"
2014-12-04 02:07:09,2510,"(0.7490196078431373, 0.7529411764705882, 0.8549019607843137)"
2014-12-04 02:07:09,7460,"(0.7215686274509804, 0.7333333333333333, 0.796078431372549)"
2014-12-04 02:07:09,1320,"(0.4666666666666667, 0.4196078431372549, 0.43137254901960786)"
2014-12-04 02:07:09,430,"(0.2235294117647059, 0.16862745098039217, 0.14901960784313725)"
2014-12-04 02:07:09,1716,"(0.596078431372549, 0.6, 0.6039215686274509)"
2014-12-04 02:07:09,1420,"(0.27450980392156865, 0.22745098039215686, 0.2549019607843137)"
2014-12-04 02:07:09,6965,"(0.1411764705882353, 0.1450980392156863, 0.16862745098039217)"
2014-12-04 02:07:09,6767,"(0.49411764705882355, 0.27450980392156865, 0.3254901960784314)"
2014-12-04 02:07:09,7658,"(0.7725490196078432, 0.13725490196078433, 0.21176470588235294)"
2014-12-04 02:07:09,1916,"(0.13333333333333333, 0.15294117647058825, 0.17254901960784313)"
2014-12-04 02:07:09,2312,"(0.45098039215686275, 0.4196078431372549, 0.4)"
2014-12-04 02:07:09,1518,"(0.11372549019607843, 0.3607843137254902, 0.18823529411764706)"
2014-12-04 02:07:09,7064,"(0.803921568627451, 0.7764705882352941, 0.792156862745098)"
2014-12-04 02:07:09,2213,"(0.18823529411764706, 0.23137254901960785, 0.17254901960784313)"
2014-12-04 02:07:09,7262,"(0.18823529411764706, 0.1843137254901961, 0.1411764705882353)"
2014-12-04 02:07:09,2114,"(0.8823529411764706, 0.8862745098039215, 0.8941176470588236)"
2014-12-04 02:07:09,1618,"(0.14901960784313725, 0.1450980392156863, 0.16862745098039217)"
2014-12-04 02:07:09,7163,"(0.4666666666666667, 0.3568627450980392, 0.4196078431372549)"
2014-12-04 02:07:09,7559,"(0.23921568627450981, 0.29411764705882354, 0.38823529411764707)"
2014-12-04 02:07:09,1122,"(0.8941176470588236, 0.7803921568627451, 0.7607843137254902)"
2014-12-04 02:07:09,1816,"(0.23921568627450981, 0.29411764705882354, 0.38823529411764707)"
2014-12-04 02:07:09,4787,"(0.1843137254901961, 0.18823529411764706, 0.23921568627450981)"
2014-12-04 02:07:09,6668,"(0.8549019607843137, 0.7529411764705882, 0.7764705882352941)"
2014-12-04 02:07:09,5579,"(0.8274509803921568, 0.8156862745098039, 0.8549019607843137)"
2014-12-04 02:07:09,3895,"(0.8901960784313725, 0.8901960784313725, 0.8901960784313725)"
2014-12-04 02:07:09,826,"(0.8392156862745098, 0.5254901960784314, 0.5568627450980392)"
2014-12-04 02:07:09,3994,"(0.19215686274509805, 0.1843137254901961, 0.19215686274509805)"
2014-12-04 02:07:09,5381,"(0.9019607843137255, 0.9019607843137255, 0.9137254901960784)"
2014-12-04 02:07:09,628,"(0.49411764705882355, 0.27450980392156865, 0.3254901960784314)"
2014-12-04 02:07:09,4093,"(0.8941176470588236, 0.7803921568627451, 0.7607843137254902)"
2014-12-04 02:07:09,5282,"(0.3803921568627451, 0.4549019607843137, 0.5411764705882353)"
2014-12-04 02:07:09,4192,"(0.3803921568627451, 0.4549019607843137, 0.5411764705882353)"
2014-12-04 02:07:09,3796,"(0.8313725490196079, 0.6235294117647059, 0.6549019607843137)"
2014-12-04 02:07:09,4291,"(0.792156862745098, 0.7803921568627451, 0.7607843137254902)"
2014-12-04 02:07:09,4390,"(0.3333333333333333, 0.3137254901960784, 0.32941176470588235)"
2014-12-04 02:07:09,5083,"(0.16470588235294117, 0.13725490196078433, 0.19607843137254902)"
2014-12-04 02:07:09,4489,"(0.8705882352941177, 0.8392156862745098, 0.8627450980392157)"
2014-12-04 02:07:09,7856,"(0.1568627450980392, 0.20392156862745098, 0.3568627450980392)"
2014-12-04 02:07:09,4984,"(0.08627450980392157, 0.08627450980392157, 0.08627450980392157)"
2014-12-04 02:07:09,4589,"(0.8313725490196079, 0.6980392156862745, 0.6392156862745098)"
2014-12-04 02:07:09,4886,"(0.6431372549019608, 0.5137254901960784, 0.49019607843137253)"
2014-12-04 02:07:09,727,"(0.8313725490196079, 0.6235294117647059, 0.6549019607843137)"
2014-12-04 02:07:09,4688,"(0.807843137254902, 0.615686274509804, 0.5176470588235295)"
2014-12-04 02:07:09,5182,"(0.796078431372549, 0.7529411764705882, 0.7254901960784313)"
2014-12-04 02:07:09,5678,"(0.10588235294117647, 0.24705882352941178, 0.38823529411764707)"
2014-12-04 02:07:09,3697,"(0.8235294117647058, 0.6313725490196078, 0.6745098039215687)"
2014-12-04 02:07:09,5777,"(0.9058823529411765, 0.8823529411764706, 0.7725490196078432)"
2014-12-04 02:07:09,2609,"(0.23529411764705882, 0.23137254901960785, 0.27058823529411763)"
2014-12-04 02:07:09,6569,"(0.8549019607843137, 0.8666666666666667, 0.8705882352941177)"
2014-12-04 02:07:09,2708,"(0.13333333333333333, 0.13333333333333333, 0.1568627450980392)"
2014-12-04 02:07:09,2807,"(0.8549019607843137, 0.8313725490196079, 0.8823529411764706)"
2014-12-04 02:07:09,6470,"(0.12941176470588237, 0.09803921568627451, 0.10196078431372549)"
2014-12-04 02:07:09,2906,"(0.792156862745098, 0.7803921568627451, 0.7607843137254902)"
2014-12-04 02:07:09,6371,"(0.1411764705882353, 0.14901960784313725, 0.16470588235294117)"
2014-12-04 02:07:09,3005,"(0.8588235294117647, 0.792156862745098, 0.788235294117647)"
2014-12-04 02:07:09,6272,"(0.18823529411764706, 0.17647058823529413, 0.21568627450980393)"
2014-12-04 02:07:09,3104,"(0.17254901960784313, 0.26666666666666666, 0.3254901960784314)"
2014-12-04 02:07:09,6173,"(0.8470588235294118, 0.8352941176470589, 0.8117647058823529)"
2014-12-04 02:07:09,3203,"(0.792156862745098, 0.6980392156862745, 0.7607843137254902)"
2014-12-04 02:07:09,6074,"(0.7647058823529411, 0.792156862745098, 0.8470588235294118)"
2014-12-04 02:07:09,529,"(0.7607843137254902, 0.792156862745098, 0.8156862745098039)"
2014-12-04 02:07:09,924,"(0.5607843137254902, 0.6313725490196078, 0.2980392156862745)"
2014-12-04 02:07:09,5975,"(0.7490196078431373, 0.6941176470588235, 0.6705882352941176)"
2014-12-04 02:07:09,3302,"(0.3333333333333333, 0.3137254901960784, 0.32941176470588235)"
2014-12-04 02:07:09,3401,"(0.8196078431372549, 0.615686274509804, 0.6196078431372549)"
2014-12-04 02:07:09,5876,"(0.403921568627451, 0.5529411764705883, 0.34509803921568627)"
2014-12-04 02:07:09,3500,"(0.1568627450980392, 0.3764705882352941, 0.5686274509803921)"
2014-12-04 02:07:09,3599,"(0.6980392156862745, 0.6745098039215687, 0.6901960784313725)"
2014-12-04 02:07:09,1023,"(0.7058823529411765, 0.6980392156862745, 0.7176470588235294)"
2014-12-04 02:07:09,5480,"(0.8705882352941177, 0.8, 0.7568627450980392)"
2014-12-04 02:07:09,1222,"(0.9098039215686274, 0.807843137254902, 0.7843137254901961)"
2014-12-04 02:07:09,232,"(0.9176470588235294, 0.6039215686274509, 0.5450980392156862)"
2014-12-04 02:07:09,8252,"(0.6745098039215687, 0.5490196078431373, 0.4745098039215686)"
2014-12-04 02:07:09,9737,"(0.8, 0.5098039215686274, 0.3137254901960784)"
2014-12-04 02:07:09,9143,"(0.16470588235294117, 0.13725490196078433, 0.19607843137254902)"
2014-12-04 02:07:09,8846,"(0.5686274509803921, 0.0392156862745098, 0.09803921568627451)"
2014-12-04 02:07:09,8747,"(0.11764705882352941, 0.15294117647058825, 0.39215686274509803)"
2014-12-04 02:07:09,9440,"(0.8274509803921568, 0.7647058823529411, 0.7411764705882353)"
2014-12-04 02:07:09,9638,"(0.23921568627450981, 0.23137254901960785, 0.27450980392156865)"
2014-12-04 02:07:09,9836,"(0.25098039215686274, 0.2196078431372549, 0.22745098039215686)"
2014-12-04 02:07:09,8351,"(0.07058823529411765, 0.5058823529411764, 0.4117647058823529)"
2014-12-04 02:07:09,9539,"(0.3686274509803922, 0.3843137254901961, 0.33725490196078434)"
